date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-05-15,8287.0,8334.0,76875.0
2023-05-12,8240.0,8275.0,76625.0
2023-05-11,8267.0,8295.0,75950.0
2023-05-10,8469.0,8503.0,75375.0
2023-05-09,8583.0,8607.0,71675.0
2023-05-05,8488.0,8509.0,70425.0
2023-05-04,8539.0,8557.0,67775.0
2023-05-03,8486.0,8517.0,67300.0
2023-05-02,8573.0,8593.0,66350.0
2023-04-28,8571.0,8586.0,64550.0
2023-04-27,8465.5,8488.0,62675.0
2023-04-26,8579.0,8585.5,61825.0
2023-04-25,8521.0,8552.0,60775.0
2023-04-24,8762.5,8778.0,53875.0
2023-04-21,8816.0,8826.0,51875.0
2023-04-20,8875.0,8885.0,51850.0
2023-04-19,8875.0,8888.0,51175.0
2023-04-18,8966.0,8971.5,53050.0
2023-04-17,8985.0,8983.0,51775.0
2023-04-14,9082.0,9086.0,51550.0
2023-04-13,9001.5,8995.0,54425.0
2023-04-12,8803.0,8808.5,56800.0
2023-04-11,8837.5,8842.0,62275.0
2023-04-06,8836.0,8836.0,65425.0
2023-04-05,8780.0,8785.0,65250.0
2023-04-04,8930.0,8931.0,66100.0
2023-04-03,8966.0,8970.0,63850.0
2023-03-31,8935.0,8934.0,64725.0
2023-03-30,9038.5,9039.0,69525.0
2023-03-29,9052.0,9045.0,68075.0
2023-03-28,8934.0,8949.0,68400.0
2023-03-27,8876.0,8894.5,70600.0
2023-03-24,8927.0,8932.0,72675.0
2023-03-23,8917.0,8917.0,73475.0
2023-03-22,8880.5,8875.0,74600.0
2023-03-21,8824.0,8812.0,76400.0
2023-03-20,8677.0,8672.0,76925.0
2023-03-17,8621.0,8625.0,74700.0
2023-03-16,8535.0,8537.0,74975.0
2023-03-15,8525.0,8555.0,73400.0
2023-03-14,8905.0,8904.0,70175.0
2023-03-13,8651.0,8667.0,71300.0
2023-03-10,8755.0,8771.0,71725.0
2023-03-09,8808.0,8827.0,72375.0
2023-03-08,8810.0,8825.0,73350.0
2023-03-07,8824.0,8854.0,74375.0
2023-03-06,8819.0,8845.5,72400.0
2023-03-03,8945.0,8979.0,70550.0
2023-03-02,8896.0,8922.0,64225.0
2023-03-01,9066.5,9081.0,63200.0
2023-02-28,8844.0,8852.0,64100.0
2023-02-27,8751.0,8769.0,64275.0
2023-02-24,8807.0,8826.5,63775.0
2023-02-23,9060.0,9088.0,65000.0
2023-02-22,9121.0,9132.0,65425.0
2023-02-21,9103.5,9125.0,65225.0
2023-02-20,9015.0,9044.0,65500.0
2023-02-17,8871.0,8912.0,64825.0
2023-02-16,8892.0,8932.0,64975.0
2023-02-15,8826.0,8862.0,65975.0
2023-02-14,8931.5,8958.0,63800.0
2023-02-13,8912.0,8942.0,62575.0
2023-02-10,8905.0,8933.0,63100.0
2023-02-09,8953.5,8981.5,64475.0
2023-02-08,9006.0,9033.0,65100.0
2023-02-07,8865.0,8891.5,66475.0
2023-02-06,8891.5,8927.0,67450.0
2023-02-03,9060.0,9075.0,70000.0
2023-02-02,9114.0,9135.5,72450.0
