date,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2016-01-25,8555.0,8610.0,449550.0
2016-01-22,8725.0,8765.0,450174.0
2016-01-21,8505.0,8560.0,450768.0
2016-01-20,8565.0,8630.0,450978.0
2016-01-19,8680.0,8705.0,452742.0
2016-01-18,8500.0,8570.0,433674.0
2016-01-15,8380.0,8410.0,434244.0
2016-01-14,8350.0,8380.0,433968.0
2016-01-13,8260.0,8290.0,436704.0
2016-01-12,8180.0,8195.0,437334.0
2016-01-11,8310.0,8370.0,437040.0
2016-01-08,8405.0,8465.0,438576.0
2016-01-07,8315.0,8375.0,438828.0
2016-01-06,8480.0,8540.0,440358.0
2016-01-05,8620.0,8610.0,441510.0
2016-01-04,8515.0,8565.0,441342.0
2015-12-31,8665.0,8700.0,441294.0
2015-12-30,8610.0,8660.0,444702.0
2015-12-29,8560.0,8580.0,445368.0
2015-12-24,8590.0,8600.0,445332.0
2015-12-23,8650.0,8685.0,445926.0
2015-12-22,8700.0,8760.0,441510.0
2015-12-21,8710.0,8820.0,436584.0
2015-12-18,8655.0,8720.0,438546.0
2015-12-17,8605.0,8655.0,435756.0
2015-12-16,8675.0,8740.0,438474.0
2015-12-15,8650.0,8695.0,423516.0
2015-12-14,8565.0,8625.0,409014.0
2015-12-11,8655.0,8655.0,406308.0
2015-12-10,8530.0,8560.0,399888.0
2015-12-09,8725.0,8755.0,393228.0
2015-12-08,8580.0,8640.0,393978.0
2015-12-07,8940.0,9000.0,394656.0
2015-12-04,9025.0,9030.0,396672.0
2015-12-03,8760.0,8810.0,400992.0
2015-12-02,8845.0,8940.0,403230.0
2015-12-01,8840.0,8875.0,405234.0
2015-11-30,8735.0,8820.0,408360.0
2015-11-27,8765.0,8810.0,411246.0
2015-11-26,9120.0,9140.0,411228.0
2015-11-25,8650.0,8720.0,411846.0
2015-11-24,8425.0,8445.0,411984.0
2015-11-23,8160.0,8200.0,412572.0
2015-11-20,8900.0,8935.0,414684.0
2015-11-19,8885.0,8930.0,415452.0
2015-11-18,8955.0,9025.0,415884.0
2015-11-17,9165.0,9200.0,412956.0
2015-11-16,9405.0,9475.0,416028.0
2015-11-13,9365.0,9420.0,418056.0
2015-11-12,9370.0,9440.0,418728.0
2015-11-11,9450.0,9480.0,418770.0
2015-11-10,9495.0,9530.0,418716.0
2015-11-09,9600.0,9610.0,423522.0
2015-11-06,9725.0,9750.0,424188.0
2015-11-05,9690.0,9705.0,427518.0
2015-11-04,9970.0,9995.0,428088.0
2015-11-03,9995.0,10050.0,422844.0
2015-11-02,10050.0,10075.0,423876.0
2015-10-30,10135.0,10145.0,426030.0
2015-10-29,10475.0,10500.0,427512.0
2015-10-28,10380.0,10420.0,428220.0
2015-10-27,10485.0,10525.0,428232.0
2015-10-26,10465.0,10480.0,428370.0
2015-10-23,10600.0,10585.0,429720.0
2015-10-22,10405.0,10460.0,434232.0
2015-10-21,10320.0,10375.0,435450.0
2015-10-20,10280.0,10365.0,434994.0
2015-10-19,10415.0,10475.0,437640.0
2015-10-16,10460.0,10540.0,438258.0
2015-10-15,10575.0,10620.0,438618.0
2015-10-14,10375.0,10405.0,439038.0
2015-10-13,10400.0,10440.0,439740.0
2015-10-12,10635.0,10675.0,439794.0
2015-10-09,10710.0,10730.0,441492.0
2015-10-08,10070.0,10135.0,443592.0
2015-10-07,10220.0,10270.0,446400.0
2015-10-06,9910.0,9950.0,449034.0
2015-10-05,9935.0,10000.0,453450.0
2015-10-02,9930.0,9980.0,453246.0
2015-10-01,10390.0,10455.0,452634.0
2015-09-30,10070.0,10105.0,452070.0
2015-09-29,9875.0,9900.0,451500.0
2015-09-28,9840.0,9925.0,452286.0
2015-09-25,9820.0,9900.0,454812.0
2015-09-24,9715.0,9750.0,454812.0
2015-09-23,9810.0,9840.0,454026.0
2015-09-22,9680.0,9710.0,452694.0
2015-09-21,9705.0,9755.0,454122.0
2015-09-18,9760.0,9800.0,453000.0
2015-09-17,9890.0,9900.0,450330.0
2015-09-16,10110.0,10160.0,449172.0
2015-09-15,9850.0,9890.0,447786.0
2015-09-14,9905.0,9990.0,448320.0
2015-09-11,10190.0,10235.0,447972.0
2015-09-10,10325.0,10360.0,449682.0
2015-09-09,10065.0,10100.0,451044.0
2015-09-08,9850.0,9895.0,451356.0
2015-09-07,9810.0,9850.0,451962.0
2015-09-04,9785.0,9845.0,453630.0
2015-09-03,10025.0,10100.0,453678.0
2015-09-02,9745.0,9800.0,454044.0
2015-09-01,9940.0,9975.0,453894.0
2015-08-28,9835.0,9870.0,455166.0
2015-08-27,9730.0,9770.0,454692.0
2015-08-26,9475.0,9520.0,454380.0
2015-08-25,9670.0,9675.0,453852.0
2015-08-24,9305.0,9450.0,455052.0
2015-08-21,10110.0,10180.0,454992.0
2015-08-20,10390.0,10430.0,455892.0
2015-08-19,10330.0,10380.0,456168.0
2015-08-18,10305.0,10305.0,454974.0
2015-08-17,10560.0,10600.0,454818.0
2015-08-14,10500.0,10580.0,454326.0
2015-08-13,10520.0,10545.0,454350.0
2015-08-12,10460.0,10520.0,454410.0
2015-08-11,10700.0,10755.0,456708.0
2015-08-10,10935.0,11000.0,456708.0
2015-08-07,10800.0,10835.0,456678.0
2015-08-06,10820.0,10890.0,458490.0
2015-08-05,10790.0,10835.0,457926.0
2015-08-04,10835.0,10890.0,457926.0
2015-08-03,10775.0,10810.0,458838.0
2015-07-31,10925.0,10960.0,460098.0
2015-07-30,10925.0,10965.0,460998.0
2015-07-29,11110.0,11200.0,457890.0
2015-07-28,11180.0,11230.0,452580.0
2015-07-27,10925.0,11020.0,453414.0
2015-07-24,11175.0,11235.0,453330.0
2015-07-23,11240.0,11340.0,453738.0
2015-07-22,11545.0,11575.0,453804.0
2015-07-21,11775.0,11840.0,453582.0
2015-07-20,11470.0,11500.0,453306.0
2015-07-17,11425.0,11475.0,453486.0
2015-07-16,11420.0,11470.0,452850.0
2015-07-15,11735.0,11785.0,453480.0
2015-07-14,11385.0,11455.0,453006.0
2015-07-13,11455.0,11570.0,454896.0
2015-07-10,11275.0,11305.0,456390.0
2015-07-09,11290.0,11320.0,457248.0
2015-07-08,10900.0,10950.0,456744.0
2015-07-07,11145.0,11200.0,455514.0
2015-07-06,11560.0,11625.0,456450.0
2015-07-03,12050.0,12050.0,457086.0
2015-07-02,12060.0,12110.0,457308.0
2015-07-01,11905.0,11935.0,457110.0
2015-06-30,11680.0,11720.0,456438.0
2015-06-29,11715.0,11750.0,459018.0
2015-06-26,12495.0,12540.0,458148.0
2015-06-25,12585.0,12625.0,458370.0
2015-06-24,12780.0,12830.0,459438.0
2015-06-23,12665.0,12700.0,458688.0
2015-06-22,12590.0,12625.0,461436.0
2015-06-19,12600.0,12630.0,458550.0
2015-06-18,12860.0,12855.0,459198.0
2015-06-17,12850.0,12880.0,459762.0
2015-06-16,12775.0,12800.0,461568.0
2015-06-15,12735.0,12825.0,464556.0
2015-06-12,13065.0,13125.0,465264.0
2015-06-11,13465.0,13490.0,465690.0
2015-06-10,13575.0,13625.0,467010.0
2015-06-09,13530.0,13575.0,467904.0
2015-06-08,13095.0,13150.0,469080.0
2015-06-05,12865.0,12890.0,469488.0
2015-06-04,12840.0,12900.0,470376.0
2015-06-03,12940.0,12925.0,470118.0
2015-06-02,12910.0,12950.0,465516.0
2015-06-01,12540.0,12565.0,465564.0
2015-05-29,12675.0,12725.0,464364.0
2015-05-28,12840.0,12900.0,464610.0
2015-05-27,12625.0,12645.0,465624.0
2015-05-26,12650.0,12680.0,463800.0
2015-05-22,12710.0,12760.0,455790.0
2015-05-21,13015.0,13085.0,446868.0
2015-05-20,12830.0,12865.0,446640.0
2015-05-19,13390.0,13410.0,444936.0
2015-05-18,13685.0,13750.0,443622.0
2015-05-15,13655.0,13725.0,444324.0
2015-05-14,13830.0,13870.0,443352.0
2015-05-13,14040.0,14080.0,441042.0
2015-05-12,14120.0,14155.0,440034.0
2015-05-11,14285.0,14350.0,442812.0
2015-05-08,14100.0,14195.0,441174.0
2015-05-07,13915.0,14000.0,442434.0
2015-05-06,14415.0,14470.0,443916.0
2015-05-05,14130.0,14180.0,444060.0
2015-05-01,13760.0,13810.0,444312.0
2015-04-30,13860.0,13880.0,444756.0
2015-04-29,13285.0,13290.0,443670.0
2015-04-28,13230.0,13300.0,442950.0
2015-04-27,13510.0,13570.0,436542.0
2015-04-24,12860.0,12920.0,435558.0
2015-04-23,12545.0,12625.0,434712.0
2015-04-22,12625.0,12690.0,434376.0
2015-04-21,12770.0,12780.0,433962.0
2015-04-20,12370.0,12425.0,433734.0
2015-04-17,12730.0,12780.0,433752.0
2015-04-16,12890.0,12920.0,433146.0
2015-04-15,12515.0,12570.0,432000.0
2015-04-14,12260.0,12320.0,431346.0
2015-04-13,12520.0,12630.0,431214.0
2015-04-10,12590.0,12630.0,431292.0
2015-04-09,12545.0,12600.0,431172.0
2015-04-08,12725.0,12770.0,431376.0
2015-04-07,12565.0,12625.0,431970.0
2015-04-02,12930.0,12975.0,431790.0
2015-04-01,12330.0,12425.0,432996.0
2015-03-31,12460.0,12550.0,433806.0
2015-03-30,13045.0,13105.0,435048.0
2015-03-27,13260.0,13330.0,433380.0
2015-03-26,13615.0,13660.0,432792.0
2015-03-25,13680.0,13750.0,433980.0
2015-03-24,14025.0,14090.0,431490.0
2015-03-23,14200.0,14180.0,430008.0
2015-03-20,13955.0,13955.0,430482.0
2015-03-19,13630.0,13685.0,431820.0
2015-03-18,13575.0,13605.0,431034.0
2015-03-17,13560.0,13600.0,432120.0
2015-03-16,13805.0,13945.0,428910.0
2015-03-13,13850.0,13875.0,430146.0
2015-03-12,13825.0,13925.0,430854.0
2015-03-11,13975.0,14070.0,432480.0
2015-03-10,14075.0,14150.0,432900.0
2015-03-09,14415.0,14475.0,431856.0
2015-03-06,14085.0,14130.0,431952.0
2015-03-05,14055.0,14115.0,431442.0
2015-03-04,13830.0,13880.0,431274.0
2015-03-03,13600.0,13680.0,430932.0
2015-03-02,13885.0,13975.0,430944.0
2015-02-27,14045.0,14100.0,428676.0
2015-02-26,14400.0,14435.0,427596.0
2015-02-25,14310.0,14390.0,425334.0
2015-02-24,14250.0,14300.0,424548.0
2015-02-23,13915.0,13980.0,424932.0
2015-02-20,13950.0,14010.0,425934.0
2015-02-19,13925.0,13980.0,425604.0
2015-02-18,14125.0,14160.0,425790.0
2015-02-17,14215.0,14260.0,426114.0
2015-02-16,14430.0,14550.0,425838.0
2015-02-13,14745.0,14755.0,426228.0
2015-02-12,14605.0,14605.0,425310.0
2015-02-11,14710.0,14770.0,426018.0
2015-02-10,14860.0,14925.0,426090.0
2015-02-09,15050.0,15170.0,426324.0
2015-02-06,14965.0,15025.0,424206.0
2015-02-05,14835.0,14900.0,423480.0
2015-02-04,14930.0,15025.0,424788.0
2015-02-03,15375.0,15400.0,424572.0
2015-02-02,15050.0,15125.0,424974.0
2015-01-30,14785.0,14825.0,426240.0
2015-01-29,14705.0,14760.0,425562.0
2015-01-28,14930.0,14970.0,423726.0
2015-01-27,14675.0,14725.0,424110.0
2015-01-26,14375.0,14430.0,424344.0
2015-01-23,14405.0,14455.0,423036.0
2015-01-22,14720.0,14760.0,421842.0
2015-01-21,14770.0,14900.0,419964.0
2015-01-20,14540.0,14600.0,418062.0
2015-01-19,14400.0,14475.0,417900.0
2015-01-16,14360.0,14430.0,418518.0
2015-01-15,14570.0,14630.0,418332.0
2015-01-14,14250.0,14290.0,418320.0
