,date,close,volume
133,2023-02-03,4.0565,88.795
134,2023-02-02,4.091,80.014
135,2023-02-01,4.111,83.786
136,2023-01-31,4.226,80.321
137,2023-01-30,4.202,62.018
138,2023-01-27,4.2225,62.437
139,2023-01-26,4.2675,55.006
140,2023-01-25,4.2445,49.279
141,2023-01-24,4.2485,48.71
142,2023-01-23,4.2565,55.511
143,2023-01-20,4.2515,58.148
144,2023-01-19,4.2315,76.89
145,2023-01-18,4.2345,101.868
146,2023-01-17,4.223,110.839
147,2023-01-13,4.216,66.225
148,2023-01-12,4.1965,94.198
149,2023-01-11,4.166,83.871
150,2023-01-10,4.0775,68.188
151,2023-01-09,4.0265,99.135
152,2023-01-06,3.911,94.873
153,2023-01-05,3.821,75.229
154,2023-01-04,3.7405,78.234
155,2023-01-03,3.7665,81.321
156,2022-12-30,3.8105,41.375
157,2022-12-29,3.824,35.958
158,2022-12-28,3.8425,41.598
159,2022-12-27,3.8405,46.661
160,2022-12-23,3.809,36.816
161,2022-12-22,3.757,43.33
162,2022-12-21,3.81,38.236
163,2022-12-20,3.799,54.252
164,2022-12-19,3.783,37.311
165,2022-12-16,3.7615,44.418
166,2022-12-15,3.763,59.555
167,2022-12-14,3.878,48.762
168,2022-12-13,3.842,66.843
169,2022-12-12,3.8005,44.17
170,2022-12-09,3.8785,50.205
171,2022-12-08,3.8835,48.411
172,2022-12-07,3.8605,50.751
173,2022-12-06,3.818,51.46
174,2022-12-05,3.795,57.509
175,2022-12-02,3.8505,58.838
176,2022-12-01,3.8175,58.078
177,2022-11-30,3.738,79.133
178,2022-11-29,3.6395,53.96
179,2022-11-28,3.6155,53.512
180,2022-11-25,3.6305,37.879
181,2022-11-23,3.6185,29.414
182,2022-11-22,3.6145,33.592
183,2022-11-21,3.576,31.441
184,2022-11-18,3.6415,27.265
185,2022-11-17,3.694,24.538
186,2022-11-16,3.7735,26.816
187,2022-11-15,3.8195,36.813
188,2022-11-14,3.8275,36.734
189,2022-11-11,3.9135,108.044
190,2022-11-10,3.758,93.416
191,2022-11-09,3.7,96.93
192,2022-11-08,3.6825,92.668
193,2022-11-07,3.6035,95.069
194,2022-11-04,3.6865,159.86
195,2022-11-03,3.427,82.769
196,2022-11-02,3.4685,70.962
197,2022-11-01,3.4725,78.213
198,2022-10-31,3.375,64.017
199,2022-10-28,3.429,72.287
200,2022-10-27,3.5195,78.732
201,2022-10-26,3.545,95.737
202,2022-10-25,3.397,58.3
203,2022-10-24,3.4305,69.168
204,2022-10-21,3.4745,83.358
205,2022-10-20,3.4105,76.167
206,2022-10-19,3.318,63.299
207,2022-10-18,3.362,70.998
208,2022-10-17,3.4155,55.405
209,2022-10-14,3.4235,68.424
210,2022-10-13,3.4405,83.408
211,2022-10-12,3.425,55.113
212,2022-10-11,3.462,58.732
213,2022-10-10,3.4305,56.873
214,2022-10-07,3.3865,51.264
215,2022-10-06,3.446,66.085
216,2022-10-05,3.5005,58.556
217,2022-10-04,3.49,74.157
218,2022-10-03,3.41,48.555
219,2022-09-30,3.4125,72.148
220,2022-09-29,3.418,85.136
221,2022-09-28,3.3585,83.239
222,2022-09-27,3.2835,61.284
223,2022-09-26,3.2945,84.989
224,2022-09-23,3.343,92.548
225,2022-09-22,3.471,62.154
226,2022-09-21,3.467,61.533
227,2022-09-20,3.503,47.612
228,2022-09-19,3.5125,44.668
229,2022-09-16,3.5165,59.945
230,2022-09-15,3.49,57.203
231,2022-09-14,3.5195,55.52
232,2022-09-13,3.5555,82.007
233,2022-09-12,3.6105,51.264
234,2022-09-09,3.568,71.651
235,2022-09-08,3.527,74.382
236,2022-09-07,3.4305,61.33
237,2022-09-06,3.462,95.683
238,2022-09-02,3.4135,65.091
239,2022-09-01,3.4065,64.617
240,2022-08-31,3.5185,80.023
241,2022-08-30,3.551,72.59
242,2022-08-29,3.6105,49.329
243,2022-08-26,3.697,50.263
244,2022-08-25,3.698,33.495
245,2022-08-24,3.648,34.525
246,2022-08-23,3.6915,41.409
247,2022-08-22,3.6535,32.02
248,2022-08-19,3.671,28.022
249,2022-08-18,3.636,27.771
250,2022-08-17,3.59,18.692
251,2022-08-16,3.6245,50.196
252,2022-08-15,3.6175,61.313
253,2022-08-12,3.6685,55.26
254,2022-08-11,3.7065,67.851
255,2022-08-10,3.6495,66.268
256,2022-08-09,3.5855,51.994
257,2022-08-08,3.5865,61.005
258,2022-08-05,3.552,66.15
259,2022-08-04,3.4815,55.569
260,2022-08-03,3.467,54.061
261,2022-08-02,3.5185,63.618
262,2022-08-01,3.5425,64.152
263,2022-07-29,3.5735,71.089
264,2022-07-28,3.4745,64.501
265,2022-07-27,3.43,55.686
266,2022-07-26,3.3845,62.914
267,2022-07-25,3.3545,53.939
268,2022-07-22,3.3495,59.717
269,2022-07-21,3.2985,53.021
270,2022-07-20,3.325,59.892
271,2022-07-19,3.291,54.659
272,2022-07-18,3.346,60.737
273,2022-07-15,3.234,75.095
274,2022-07-14,3.2115,69.554
275,2022-07-13,3.3225,84.522
276,2022-07-12,3.288,59.462
277,2022-07-11,3.4305,58.609
278,2022-07-08,3.522,56.309
279,2022-07-07,3.572,87.618
280,2022-07-06,3.408,79.351
281,2022-07-05,3.415,105.356
282,2022-07-01,3.604,66.572
283,2022-06-30,3.71,54.001
284,2022-06-29,3.7805,48.573
285,2022-06-28,3.78,54.667
286,2022-06-27,3.766,45.096
287,2022-06-24,3.7445,50.086
288,2022-06-23,3.7465,47.095
289,2022-06-22,3.95,45.308
290,2022-06-21,4.0485,47.58
291,2022-06-17,4.0295,22.989
292,2022-06-16,4.1265,29.239
293,2022-06-15,4.1825,17.131
294,2022-06-14,4.176,26.987
295,2022-06-13,4.228,34.972
296,2022-06-10,4.2945,59.439
297,2022-06-09,4.381,59.489
298,2022-06-08,4.4545,51.281
299,2022-06-07,4.4355,59.19
300,2022-06-06,4.435,61.808
301,2022-06-03,4.472,40.204
302,2022-06-02,4.5525,70.766
303,2022-06-01,4.3285,54.481
304,2022-05-31,4.296,63.465
305,2022-05-27,4.3065,35.919
306,2022-05-26,4.259,40.196
307,2022-05-25,4.2545,43.546
308,2022-05-24,4.305,43.773
309,2022-05-23,4.3455,49.056
310,2022-05-20,4.275,44.325
311,2022-05-19,4.283,54.505
312,2022-05-18,4.1785,44.049
313,2022-05-17,4.239,43.709
314,2022-05-16,4.1915,40.503
315,2022-05-13,4.175,48.767
316,2022-05-12,4.1005,64.834
317,2022-05-11,4.209,52.792
318,2022-05-10,4.1545,55.47
319,2022-05-09,4.1935,64.966
320,2022-05-06,4.267,46.171
321,2022-05-05,4.2915,59.406
322,2022-05-04,4.338,48.275
323,2022-05-03,4.283,50.158
324,2022-05-02,4.268,46.336
325,2022-04-29,4.4085,47.592
326,2022-04-28,4.4335,49.372
327,2022-04-27,4.475,68.97
328,2022-04-26,4.464,56.233
329,2022-04-25,4.472,72.42
330,2022-04-22,4.602,39.825
331,2022-04-21,4.7225,30.996
332,2022-04-20,4.6755,29.776
333,2022-04-19,4.7395,29.236
334,2022-04-18,4.8215,16.255
335,2022-04-14,4.741,15.078
336,2022-04-13,4.7305,24.544
337,2022-04-12,4.7095,55.886
338,2022-04-11,4.634,69.17
339,2022-04-08,4.725,47.155
340,2022-04-07,4.6995,50.418
341,2022-04-06,4.738,56.852
342,2022-04-05,4.795,41.664
343,2022-04-04,4.7815,39.98
344,2022-04-01,4.6885,52.842
345,2022-03-31,4.751,39.372
346,2022-03-30,4.7505,47.38
347,2022-03-29,4.731,36.879
348,2022-03-28,4.7255,44.433
349,2022-03-25,4.6985,35.909
350,2022-03-24,4.7425,40.639
351,2022-03-23,4.7765,32.109
352,2022-03-22,4.7,36.431
353,2022-03-21,4.7105,31.238
354,2022-03-18,4.7395,38.204
355,2022-03-17,4.702,42.68
356,2022-03-16,4.6005,45.139
357,2022-03-15,4.513,45.209
358,2022-03-14,4.523,49.287
359,2022-03-11,4.6255,39.015
360,2022-03-10,4.6525,43.943
361,2022-03-09,4.5725,57.941
362,2022-03-08,4.71,86.439
363,2022-03-07,4.731,94.413
364,2022-03-04,4.9375,93.867
365,2022-03-03,4.7815,88.628
366,2022-03-02,4.6655,78.043
367,2022-03-01,4.5965,67.35
368,2022-02-28,4.4545,57.745
369,2022-02-25,4.485,56.288
370,2022-02-24,4.461,66.868
371,2022-02-23,4.4885,38.768
372,2022-02-22,4.5175,52.135
373,2022-02-18,4.526,22.49
374,2022-02-17,4.528,23.887
375,2022-02-16,4.541,20.911
376,2022-02-15,4.536,17.715
377,2022-02-14,4.508,20.615
378,2022-02-11,4.506,122.741
379,2022-02-10,4.6595,114.431
380,2022-02-09,4.6025,103.91
381,2022-02-08,4.461,71.019
382,2022-02-07,4.4625,62.818
383,2022-02-04,4.4875,56.144
384,2022-02-03,4.471,45.281
385,2022-02-02,4.496,58.704
386,2022-02-01,4.434,56.961
387,2022-01-31,4.3245,61.37
388,2022-01-28,4.31,89.359
389,2022-01-27,4.4235,68.682
390,2022-01-26,4.515,60.836
391,2022-01-25,4.45,53.309
392,2022-01-24,4.4125,77.5
393,2022-01-21,4.524,66.887
394,2022-01-20,4.5825,70.917
395,2022-01-19,4.47,59.021
396,2022-01-18,4.3825,85.526
397,2022-01-14,4.4205,67.752
398,2022-01-13,4.546,60.425
399,2022-01-12,4.5765,103.816
400,2022-01-11,4.429,43.898
401,2022-01-10,4.352,43.739
402,2022-01-07,4.41,44.824
403,2022-01-06,4.3545,55.043
404,2022-01-05,4.4135,50.594
405,2022-01-04,4.475,55.082
406,2022-01-03,4.4215,37.466
407,2021-12-31,4.4635,34.578
408,2021-12-30,4.3925,34.024
409,2021-12-29,4.413,41.973
410,2021-12-28,4.433,35.535
411,2021-12-27,4.472,35.466
412,2021-12-23,4.3925,37.442
413,2021-12-22,4.3915,40.129
414,2021-12-21,4.346,40.79
415,2021-12-20,4.2935,38.816
416,2021-12-17,4.295,36.074
417,2021-12-16,4.3045,59.911
418,2021-12-15,4.1825,81.709
419,2021-12-14,4.2575,37.642
420,2021-12-13,4.284,32.488
421,2021-12-10,4.2865,36.267
422,2021-12-09,4.333,41.167
423,2021-12-08,4.3935,41.524
424,2021-12-07,4.3395,48.265
425,2021-12-06,4.3375,40.588
426,2021-12-03,4.267,42.425
427,2021-12-02,4.299,49.2
428,2021-12-01,4.2475,48.355
429,2021-11-30,4.28,58.204
430,2021-11-29,4.341,54.74
431,2021-11-26,4.291,79.976
432,2021-11-24,4.4705,41.6
433,2021-11-23,4.424,32.546
434,2021-11-22,4.3965,24.583
435,2021-11-19,4.396,28.351
436,2021-11-18,4.305,32.007
437,2021-11-17,4.272,31.383
438,2021-11-16,4.3595,27.279
439,2021-11-15,4.403,20.68
440,2021-11-12,4.445,16.792
441,2021-11-11,4.3935,24.788
442,2021-11-10,4.323,68.944
443,2021-11-09,4.373,65.252
