LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
9455.0,9455.0,145.95
9500.5,9510.0,149.2
9520.5,9531.0,154.65
9383.0,9395.0,156.175
9359.0,9365.0,162.425
9287.0,9315.0,168.15
9460.5,9437.0,170.65
9500.5,9485.0,171.075
9477.0,9461.0,174.6
9287.0,9278.0,178.55
9264.5,9262.0,180.925
9396.0,9381.0,176.575
9270.0,9227.0,176.55
9064.0,9060.0,177.0
9018.5,9005.0,176.875
9367.0,9356.0,175.875
9350.0,9341.0,167.825
9160.0,9162.0,169.175
9428.0,9425.0,170.025
9541.0,9541.0,168.8
9474.0,9481.0,154.475
9511.0,9525.0,156.225
9820.5,9822.0,156.05
9812.0,9805.0,150.85
9910.0,9895.0,148.5
9912.5,9918.5,135.175
9919.0,9915.0,137.275
10230.5,10235.0,137.775
10268.0,10282.0,130.5
10215.0,10250.0,128.775
10381.0,10391.5,118.825
10277.0,10310.0,110.675
10290.5,10306.0,107.0
10201.0,10226.0,104.35
10235.5,10254.0,105.6
10390.0,10380.0,103.775
10292.0,10301.0,101.275
10350.5,10373.0,94.925
10426.0,10450.0,95.975
10301.5,10324.0,94.8
10247.0,10260.0,93.975
10337.0,10335.0,91.4
10390.5,10392.0,87.925
10350.0,10356.0,81.5
10227.0,10230.0,80.55
10280.0,10310.0,80.6
10421.0,10435.0,80.675
10311.0,10317.0,79.975
10342.0,10355.0,80.1
10173.0,10191.0,80.15
10249.0,10240.0,79.5
10166.0,10171.0,77.6
10100.5,10121.0,77.475
9826.0,9865.0,77.525
9880.0,9925.0,78.0
10145.0,10166.0,74.2
10144.0,10172.0,71.9
10052.0,10070.0,71.875
10171.0,10250.5,69.6
10730.0,10720.0,70.25
10466.0,10440.0,69.825
10470.0,10420.0,71.375
10257.5,10220.5,72.075
9976.0,9948.0,72.875
9974.0,9945.0,73.025
9920.0,9862.0,74.875
9983.0,9935.0,74.75
10005.0,9965.0,74.325
10020.0,9951.0,74.475
9960.0,9910.0,74.375
10015.0,9975.0,74.075
10010.0,9900.0,74.275
10045.5,10010.0,75.275
10020.0,9960.0,70.125
9882.0,9840.0,72.225
10040.0,10000.0,74.1
10220.5,10181.0,76.325
9881.0,9841.0,77.325
9760.0,9718.0,79.925
9850.0,9815.0,80.025
9875.0,9835.0,82.225
9785.0,9755.0,82.4
9880.0,9845.0,84.875
9701.0,9661.0,86.5
9620.0,9539.0,87.65
9678.0,9622.0,90.125
9872.0,9835.0,91.35
9965.0,9926.5,93.25
9744.0,9710.0,96.675
9800.0,9775.0,97.575
9970.0,9922.0,99.775
9925.0,9906.0,98.725
9801.0,9785.0,98.75
9707.0,9692.0,94.525
9674.5,9660.0,92.85
9900.0,9885.0,86.3
9972.0,9965.0,83.8
9945.0,9930.5,83.85
9662.0,9632.0,83.925
9665.0,9641.0,84.025
9615.0,9593.0,84.775
9565.0,9560.0,85.95
9778.0,9759.0,86.95
9660.0,9630.0,88.725
9692.0,9682.0,88.95
9715.0,9656.5,89.375
9655.0,9620.5,89.1
9582.0,9566.0,89.275
9606.0,9581.5,89.125
9625.0,9615.0,89.4
9521.0,9511.0,89.925
9406.0,9390.0,89.0
9520.0,9505.0,89.15
9506.0,9495.0,89.475
9290.0,9285.0,88.65
9485.0,9480.0,87.375
9500.0,9505.5,84.45
9543.0,9531.0,81.775
9578.0,9557.0,77.925
9555.5,9565.0,75.175
9647.0,9606.0,74.225
9526.0,9480.0,77.875
9513.0,9455.0,78.35
9520.0,9421.0,78.225
9571.0,9510.0,78.625
9605.0,9510.0,76.45
9751.0,9610.0,80.075
9630.0,9520.0,83.8
9932.0,9895.0,82.6
9852.0,9790.0,82.225
9825.5,9722.0,81.6
9730.0,9615.0,86.525
9620.5,9545.0,89.875
9450.0,9410.0,97.6
9495.0,9495.0,99.45
9680.0,9650.0,93.925
9845.0,9732.0,95.7
9854.5,9617.0,100.3
9850.0,9630.0,104.175
9791.0,9570.0,106.125
10002.0,9660.0,109.55
9885.0,9540.0,115.525
9740.0,9430.0,122.6
9785.0,9570.0,123.4
9825.0,9590.0,126.475
9817.0,9520.0,123.925
9875.0,9490.0,131.3
9955.0,9620.0,140.175
9860.0,9661.0,143.65
9849.5,9605.0,153.675
9988.0,9805.0,155.15
10050.0,9805.5,159.8
9992.0,9870.0,161.55
10051.0,9935.0,165.925
10161.0,9996.0,172.025
10652.0,10270.0,178.225
10500.0,10275.0,181.375
10555.0,10177.0,181.4
9971.0,9840.0,187.05
9661.0,9560.0,191.6
9585.0,9497.0,195.25
9527.0,9475.5,197.65
9246.0,9236.0,199.25
9177.0,9177.0,200.575
9096.0,9082.5,202.5
9091.5,9090.0,212.125
9267.5,9270.0,216.725
9113.0,9101.0,217.175
9041.0,9021.0,219.525
9227.0,9215.5,220.875
9263.0,9260.0,226.625
9341.0,9328.0,223.175
9275.0,9271.0,226.175
9252.0,9251.0,226.025
9255.0,9246.0,229.725
9106.0,9107.0,231.075
9145.5,9132.0,239.5
9435.5,9457.0,240.8
9392.0,9420.0,231.2
9488.5,9505.0,234.0
9407.0,9416.5,235.95
9627.0,9640.0,240.35
9515.0,9533.5,233.95
9356.5,9381.0,233.95
9256.0,9280.0,237.7
9325.0,9340.0,242.55
9401.5,9412.0,250.7
9361.0,9372.0,252.225
9347.0,9354.5,252.4
9312.0,9310.5,252.725
9462.5,9457.5,253.0
9352.0,9345.0,254.25
9323.0,9315.5,254.3
9378.5,9376.0,254.3
9316.5,9305.5,254.775
9237.0,9221.5,254.8
8922.0,8934.0,251.45
8775.5,8783.5,245.125
9148.5,9168.5,245.125
9346.5,9369.5,236.325
9377.0,9404.5,235.55
9429.5,9463.0,235.65
9508.5,9539.0,235.775
9421.0,9450.5,235.925
9409.5,9435.0,236.1
9311.5,9337.5,234.925
9529.5,9549.5,235.25
9429.0,9446.5,236.1
9503.0,9527.5,237.025
9583.5,9608.5,238.0
9737.0,9767.0,238.65
9747.5,9775.0,239.65
9781.0,9805.0,235.175
9697.0,9719.0,230.225
9709.0,9728.5,225.225
9580.0,9604.5,225.225
9433.5,9461.5,224.75
9382.5,9409.0,224.25
9271.5,9303.0,224.4
9211.0,9244.5,225.65
9264.5,9300.0,226.3
9396.5,9433.5,224.175
9347.0,9383.5,222.625
9309.0,9349.0,221.8
9310.0,9345.0,220.575
9347.0,9385.0,219.175
9437.5,9475.5,216.8
9264.5,9297.5,214.575
9451.5,9483.0,214.575
9528.0,9558.5,212.325
9432.0,9461.0,212.475
9296.5,9323.5,211.95
9342.0,9367.5,211.975
9385.0,9405.5,211.525
9225.5,9252.0,210.35
9333.5,9363.5,210.925
9432.5,9460.0,210.975
9390.5,9420.5,192.975
9289.5,9321.0,159.8
9190.5,9217.0,160.95
9042.5,9070.0,161.05
9206.0,9230.0,168.675
9427.5,9456.5,143.75
9508.0,9538.0,142.625
9552.5,9587.0,140.625
9900.0,9935.0,138.3
10029.0,10059.5,132.45
9808.5,9834.5,131.775
9877.0,9904.5,129.675
9878.5,9901.5,127.2
9848.0,9864.0,124.7
9852.0,9866.0,124.7
9967.0,9989.5,125.45
10117.5,10133.5,123.35
10212.5,10226.5,120.7
10159.5,10171.0,122.425
10032.5,10048.5,123.75
9965.0,9978.5,124.7
9943.0,9961.0,125.925
9868.0,9884.0,125.825
10011.0,10027.5,126.675
10086.0,10104.0,117.3
10114.5,10138.0,117.075
10465.0,10496.5,119.025
10257.0,10283.5,119.875
10212.0,10239.5,121.25
10253.5,10260.5,112.15
10537.0,10546.0,115.95
10528.0,10533.5,118.875
10724.5,10720.0,123.2
10361.0,10356.0,126.725
10025.5,10028.0,130.75
9991.5,9990.5,132.775
9961.0,9958.5,137.4
9949.0,9939.5,143.725
9990.0,9983.0,147.325
9832.5,9823.5,148.975
9898.5,9894.0,154.6
9758.0,9730.0,155.1
9545.5,9518.0,155.75
9475.5,9448.0,158.975
9382.5,9371.5,159.45
9396.5,9390.0,160.35
9415.0,9398.5,163.05
9336.0,9317.5,165.375
9187.5,9180.5,169.475
9011.0,9002.5,172.025
8904.0,8898.0,168.5
8901.0,8893.5,165.625
8993.0,8984.0,163.1
9001.5,8993.0,157.075
8981.5,8974.5,150.325
8984.5,8979.0,143.425
8768.0,8764.0,143.775
8850.5,8845.5,144.5
8788.5,8795.0,142.55
8942.5,8937.0,132.05
8929.0,8918.5,123.8
8781.0,8780.5,121.675
9016.0,9011.0,121.95
9016.5,9013.0,122.425
9097.5,9086.0,113.9
9036.0,9017.5,104.95
9090.0,9077.5,106.425
9027.0,9024.5,107.275
8965.5,8956.5,103.9
9147.5,9123.0,92.65
9052.5,9037.5,93.45
9062.5,9048.0,90.825
8939.0,8917.0,88.025
8895.0,8877.0,85.05
8992.5,8971.0,84.25
9021.5,8996.5,79.025
8786.5,8757.0,79.825
9266.0,9227.5,74.1
9213.5,9163.5,73.7
9198.0,9148.0,74.2
9172.5,9120.5,76.225
9614.5,9562.5,78.575
9286.0,9260.5,79.7
9158.0,9126.0,73.45
9067.5,9033.0,74.9
8806.5,8763.0,75.7
8650.0,8631.0,76.025
8413.5,8401.0,76.175
8439.5,8419.0,73.725
8416.5,8391.0,74.25
8270.5,8251.0,74.7
8292.0,8289.5,73.5
8279.5,8274.0,74.675
8146.5,8132.0,76.05
8007.0,7992.0,74.575
7936.5,7928.5,76.55
7833.5,7829.5,74.5
7832.5,7821.0,75.0
7755.5,7747.5,74.225
7827.0,7823.0,74.275
7877.0,7873.5,74.575
