LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
16425.0,16473.0,259.308
16121.0,16171.0,259.974
15999.0,16051.0,260.208
15988.0,16047.0,259.782
16131.0,16181.0,260.148
16167.0,16231.0,260.724
16158.0,16202.0,260.73
16434.0,16467.0,259.662
16040.0,16080.0,259.656
15907.0,15951.0,260.352
16115.0,16145.0,260.376
16349.0,16379.0,260.376
16144.0,16191.0,260.994
17802.0,17864.0,261.534
18580.0,18635.0,258.792
18655.0,18675.0,250.584
18607.0,18653.0,251.13
19568.0,19614.0,251.058
19352.0,19402.0,251.226
19226.0,19254.0,251.094
19689.0,19722.0,249.15
19496.0,19512.0,249.48
18966.0,19003.0,249.51
18704.0,18745.0,249.51
18615.0,18654.0,249.99
18612.0,18658.0,250.056
18363.0,18404.0,250.056
18599.0,18651.0,249.846
18484.0,18534.0,248.664
18338.0,18388.0,249.948
18067.0,18102.0,249.444
17954.0,17995.0,249.444
17535.0,17590.0,249.03
17623.0,17663.0,249.078
17756.0,17807.0,249.102
17807.0,17855.0,248.856
17727.0,17761.0,248.886
17662.0,17704.0,248.886
17818.0,17860.0,248.886
18142.0,18197.0,248.688
18240.0,18290.0,248.844
17906.0,17938.0,249.366
18370.0,18422.0,249.396
18055.0,18108.0,249.726
18075.0,18133.0,249.09
18056.0,18102.0,249.3
17970.0,17997.0,249.306
17951.0,17986.0,249.396
17675.0,17731.0,249.432
17665.0,17671.0,249.198
17164.0,17217.0,248.826
17890.0,17950.0,249.018
17929.0,17972.0,248.694
17796.0,17828.0,248.382
17517.0,17576.0,247.944
17344.0,17403.0,247.98
16540.0,16607.0,246.708
16775.0,16838.0,246.114
17003.0,17070.0,246.798
16951.0,17013.0,246.654
16691.0,16747.0,246.318
16913.0,16994.0,245.064
17342.0,17416.0,245.166
17551.0,17616.0,244.212
17520.0,17622.0,244.212
17355.0,17429.0,244.314
17650.0,17685.0,244.236
17594.0,17651.0,243.3
17192.0,17254.0,243.18
16807.0,16891.0,243.426
16475.0,16519.0,243.498
16390.0,16454.0,243.564
16290.0,16348.0,243.408
16020.0,16064.0,242.562
15937.0,15996.0,241.812
15850.0,15906.0,241.842
16102.0,16150.0,241.482
16343.0,16388.0,241.662
16373.0,16414.0,241.752
16055.0,16073.0,240.636
15975.0,16028.0,240.39
16007.0,16068.0,240.174
16017.0,16065.0,240.678
15870.0,15900.0,239.664
15690.0,15743.0,239.31
15745.0,15777.0,238.98
15703.0,15750.0,238.98
16030.0,16083.0,239.076
15815.0,15845.0,239.172
15874.0,15922.0,239.154
15807.0,15836.0,239.4
15700.0,15753.0,239.292
15862.0,15917.0,238.83
15532.0,15564.0,238.83
15450.0,15506.0,238.386
15391.0,15422.0,238.956
15365.0,15384.0,238.674
15113.0,15148.0,239.016
15256.0,15289.0,239.016
15393.0,15435.0,239.31
15819.0,15849.0,238.524
15602.0,15644.0,238.152
15397.0,15418.0,238.152
15768.0,15796.0,237.63
15707.0,15740.0,237.36
16064.0,16101.0,237.366
15791.0,15822.0,236.832
15653.0,15704.0,237.342
15603.0,15651.0,237.39
15353.0,15400.0,237.306
15105.0,15152.0,237.156
15147.0,15199.0,236.934
15217.0,15257.0,235.902
14990.0,15028.0,236.07
14687.0,14728.0,236.088
14570.0,14608.0,236.058
14643.0,14683.0,236.124
14360.0,14405.0,236.172
14271.0,14305.0,236.202
14430.0,14479.0,236.148
14385.0,14423.0,236.376
14470.0,14512.0,236.4
14416.0,14460.0,235.95
14285.0,14320.0,236.952
14179.0,14220.0,236.646
14365.0,14414.0,236.31
14554.0,14593.0,236.382
14691.0,14736.0,236.502
14908.0,14963.0,236.526
14895.0,14952.0,236.988
15160.0,15183.0,237.276
15218.0,15273.0,237.18
15090.0,15134.0,237.0
14935.0,14967.0,237.138
14748.0,14796.0,237.162
14821.0,14853.0,236.478
15090.0,15132.0,236.46
15185.0,15229.0,236.508
15210.0,15246.0,236.634
15135.0,15184.0,236.736
15658.0,15671.0,237.336
15660.0,15697.0,238.722
15414.0,15442.0,238.974
15120.0,15175.0,238.83
15034.0,15077.0,238.818
14880.0,14923.0,238.494
14862.0,14906.0,238.95
14562.0,14610.0,238.95
14666.0,14707.0,239.304
14705.0,14758.0,238.584
14602.0,14652.0,238.53
14548.0,14602.0,238.638
14235.0,14299.0,238.638
14106.0,14186.0,237.228
14167.0,14218.0,235.866
14153.0,14185.0,235.89
14146.0,14195.0,235.896
14335.0,14379.0,236.28
14381.0,14433.0,235.86
14250.0,14287.0,235.47
13888.0,13933.0,235.272
13683.0,13734.0,235.266
13756.0,13806.0,235.242
13716.0,13771.0,234.786
13762.0,13809.0,235.164
13470.0,13525.0,234.852
13718.0,13773.0,234.948
13430.0,13465.0,234.636
13460.0,13498.0,235.146
13215.0,13260.0,235.182
13315.0,13367.0,235.158
13162.0,13187.0,234.69
13281.0,13320.0,234.738
13253.0,13289.0,234.96
13512.0,13555.0,234.78
13518.0,13567.0,234.192
13482.0,13524.0,234.624
