index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2012-04-03,2091.0,2068.5,5071.1
2012-04-04,2059.5,2028.5,5064.6
2012-04-05,2054.0,2039.0,5059.075
2012-04-06,2053.3,2052.5,5060.585
2012-04-07,2052.6,2066.0,5062.095
2012-04-08,2051.9,2079.5,5063.605
2012-04-09,2051.2,2155.0,5065.115
2012-04-10,2050.5,2162.0,5066.625
2012-04-11,2036.0,2189.0,5050.925
2012-04-12,2070.0,2140.0,5059.875
2012-04-13,2046.0,2143.5,5052.7
2012-04-14,2039.6666666667,2147.0,5050.225
2012-04-15,2033.3333333333,2150.5,5047.75
2012-04-16,2027.0,2211.0,5045.275
2012-04-17,2040.5,2212.5,5079.9
2012-04-18,2028.5,2218.0,5071.0
2012-04-19,2016.5,2222.0,5062.125
2012-04-20,2034.5,2224.5,5058.475
2012-04-21,2026.8333333333,2227.0,5056.55
2012-04-22,2019.1666666667,2229.5,5054.625
2012-04-23,2011.5,2225.5,5052.7
2012-04-24,2030.0,2228.0,5046.35
2012-04-25,2040.0,2263.0,5055.675
2012-04-26,2040.5,2278.0,5046.35
2012-04-27,2068.5,2266.6666666667,5035.625
2012-04-28,2065.0,2255.3333333333,5032.05
2012-04-29,2061.5,2244.0,5028.475
2012-04-30,2058.0,2299.0,5024.9
2012-05-01,2067.0,2256.0,5014.5
2012-05-02,2064.5,2241.0,5015.5
2012-05-03,2047.5,2201.5,5004.2
2012-05-04,2048.0,2207.0,4990.075
2012-05-05,2042.5,2212.5,4987.63125
2012-05-06,2037.0,2218.0,4985.1875
2012-05-07,2031.5,2216.0,4982.74375
2012-05-08,2026.0,2277.0,4980.3
2012-05-09,1987.0,2277.0,4959.425
2012-05-10,2003.5,2258.5,4946.825
2012-05-11,1992.0,2254.6666666667,4951.125
2012-05-12,1988.6666666667,2250.8333333333,4950.7166666667
2012-05-13,1985.3333333333,2247.0,4950.3083333333
2012-05-14,1982.0,2207.0,4949.9
2012-05-15,1979.5,2217.0,4984.65
2012-05-16,1994.5,2164.0,4976.5
2012-05-17,1987.0,2166.5,4982.9
2012-05-18,2016.5,2170.5,4975.175
2012-05-19,2012.3333333333,2174.5,4971.7333333333
2012-05-20,2008.1666666667,2178.5,4968.2916666667
2012-05-21,2004.0,2220.0,4964.85
2012-05-22,1996.5,2253.0,4958.0
2012-05-23,1975.0,2273.0,4952.975
2012-05-24,1969.0,2293.5,4956.325
2012-05-25,1979.5,2298.8333333333,4943.9
2012-05-26,1979.8333333333,2304.1666666667,4944.375
2012-05-27,1980.1666666667,2309.5,4944.85
2012-05-28,1980.5,2349.0,4945.325
2012-05-29,1979.5,2341.5,4937.6
2012-05-30,1957.5,2333.0,4929.35
2012-05-31,1973.5,2335.5,4918.925
2012-06-01,1937.0,2322.3333333333,4917.2
2012-06-02,1938.6,2309.1666666667,4914.585
2012-06-03,1940.2,2296.0,4911.97
2012-06-04,1941.8,2248.0,4909.355
2012-06-05,1943.4,2220.5,4906.74
2012-06-06,1945.0,2214.5,4904.125
2012-06-07,1947.0,2207.5,4875.375
2012-06-08,1938.5,2208.6666666667,4864.2
2012-06-09,1940.1666666667,2209.8333333333,4862.8666666667
2012-06-10,1941.8333333333,2211.0,4861.5333333333
2012-06-11,1943.5,2231.0,4860.2
2012-06-12,1926.0,2242.0,4848.625
2012-06-13,1924.0,2237.5,4835.125
2012-06-14,1924.5,2266.0,4860.925
2012-06-15,1914.5,2265.6666666667,4847.55
2012-06-16,1903.6666666667,2265.3333333333,4848.2333333333
2012-06-17,1892.8333333333,2265.0,4848.9166666667
2012-06-18,1882.0,2239.0,4849.6
2012-06-19,1878.5,2233.5,4860.575
2012-06-20,1879.5,2181.5,4858.075
2012-06-21,1842.0,2172.5,4847.075
2012-06-22,1823.5,2173.5,4861.375
2012-06-23,1821.3333333333,2174.5,4858.15
2012-06-24,1819.1666666667,2175.5,4854.925
2012-06-25,1817.0,2175.0,4851.7
2012-06-26,1810.5,2180.0,4849.975
2012-06-27,1810.5,2146.5,4839.15
2012-06-28,1832.5,2140.5,4844.725
2012-06-29,1834.5,2134.1666666667,4833.925
2012-06-30,1845.3333333333,2127.8333333333,4830.1666666667
2012-07-01,1856.1666666667,2121.5,4826.4083333333
2012-07-02,1867.0,2126.0,4822.65
2012-07-03,1911.0,2099.5,4812.625
2012-07-04,1930.0,2091.0,4805.775
2012-07-05,1914.5,2090.8,4809.525
2012-07-06,1888.0,2090.6,4818.725
2012-07-07,1884.1666666667,2090.4,4822.1
2012-07-08,1880.3333333333,2090.2,4825.475
2012-07-09,1876.5,2090.0,4828.85
2012-07-10,1890.0,2075.0,4822.85
2012-07-11,1872.5,2109.5,4811.05
2012-07-12,1835.5,2088.5,4800.4
2012-07-13,1861.5,2081.8333333333,4803.475
2012-07-14,1861.6666666667,2075.1666666667,4802.2666666667
2012-07-15,1861.8333333333,2068.5,4801.0583333333
2012-07-16,1862.0,2088.0,4799.85
2012-07-17,1888.5,2069.0,4806.475
2012-07-18,1868.5,2057.0,4808.5
2012-07-19,1909.0,2077.0,4802.55
2012-07-20,1894.5,2069.5,4832.425
